sol [*,*] (tr)
:      obiettivo   D    C    N_min:=
651    0.0434783   4   19    8
652    0.0434783   4   19    9
653    0.0434783   4   19   10
654    0.0434783   4   19   11
655    0.0434783   4   19   12
656    0.0434783   4   19   13
657    0.0434783   4   19   14
658    0.0434783   4   19   15
659    0.0434783   4   19   16
660    0.0434783   4   19   17
661    0.0434783   4   19   18
662    0.0434783   4   19   19
663    0.0434783   4   19   20
664    0.0434783   4   20    4
665    0.0434783   4   20    5
666    0.0434783   4   20    6
667    0.0434783   4   20    7
668    0.0434783   4   20    8
669    0.0434783   4   20    9
670    0.0434783   4   20   10
671    0.0434783   4   20   11
672    0.0434783   4   20   12
673    0.0434783   4   20   13
674    0.0434783   4   20   14
675    0.0434783   4   20   15
676    0.0434783   4   20   16
677    0.0434783   4   20   17
678    0.0434783   4   20   18
679    0.0434783   4   20   19
680    0.0434783   4   20   20
681    0.521739    5    1    4
682    0.521739    5    1    5
683    0.521739    5    1    6
684    0.521739    5    1    7
685    0.521739    5    1    8
686    0.521739    5    1    9
687    0.521739    5    1   10
688    0.521739    5    1   11
689    0.521739    5    1   12
690    0.521739    5    1   13
691    0.521739    5    1   14
692    0.521739    5    1   15
693    0.521739    5    1   16
694    0.521739    5    1   17
695    0.521739    5    1   18
696    0.521739    5    1   19
697    0.521739    5    1   20
698    0.304348    5    2    4
699    0.304348    5    2    5
700    0.304348    5    2    6
701    0.304348    5    2    7
702    0.304348    5    2    8
703    0.304348    5    2    9
704    0.304348    5    2   10
705    0.304348    5    2   11
706    0.304348    5    2   12
707    0.304348    5    2   13
708    0.304348    5    2   14
709    0.304348    5    2   15
710    0.304348    5    2   16
711    0.304348    5    2   17
712    0.304348    5    2   18
713    0.304348    5    2   19
714    0.304348    5    2   20
715    0.173913    5    3    4
716    0.173913    5    3    5
717    0.173913    5    3    6
718    0.173913    5    3    7
719    0.173913    5    3    8
720    0.173913    5    3    9
721    0.173913    5    3   10
722    0.173913    5    3   11
723    0.173913    5    3   12
724    0.173913    5    3   13
725    0.173913    5    3   14
726    0.173913    5    3   15
727    0.173913    5    3   16
728    0.173913    5    3   17
729    0.173913    5    3   18
730    0.173913    5    3   19
731    0.217391    5    3   20
732    0.130435    5    4    4
733    0.130435    5    4    5
734    0.130435    5    4    6
735    0.130435    5    4    7
736    0.130435    5    4    8
737    0.130435    5    4    9
738    0.130435    5    4   10
739    0.130435    5    4   11
740    0.130435    5    4   12
741    0.130435    5    4   13
742    0.130435    5    4   14
743    0.130435    5    4   15
744    0.130435    5    4   16
745    0.130435    5    4   17
746    0.130435    5    4   18
747    0.130435    5    4   19
748    0.130435    5    4   20
749    0.0869565   5    5    4
750    0.0869565   5    5    5
751    0.0869565   5    5    6
752    0.0869565   5    5    7
753    0.0869565   5    5    8
754    0.0869565   5    5    9
755    0.0869565   5    5   10
756    0.0869565   5    5   11
757    0.0869565   5    5   12
758    0.0869565   5    5   13
759    0.0869565   5    5   14
760    0.0869565   5    5   15
761    0.0869565   5    5   16
762    0.0869565   5    5   17
763    0.0869565   5    5   18
764    0.0869565   5    5   19
765    0.0869565   5    5   20
766    0.0434783   5    6    4
767    0.0434783   5    6    5
768    0.0434783   5    6    6
769    0.0434783   5    6    7
770    0.0434783   5    6    8
771    0.0434783   5    6    9
772    0.0434783   5    6   10
773    0.0434783   5    6   11
774    0.0434783   5    6   12
775    0.0434783   5    6   13
776    0.0434783   5    6   14
777    0.0434783   5    6   15
778    0.0434783   5    6   16
779    0.0434783   5    6   17
780    0.0434783   5    6   18
781    0.0434783   5    6   19
782    0.0434783   5    6   20
783    0.0434783   5    7    4
784    0.0434783   5    7    5
785    0.0434783   5    7    6
786    0.0434783   5    7    7
787    0.0434783   5    7    8
788    0.0434783   5    7    9
789    0.0434783   5    7   10
790    0.0434783   5    7   11
791    0.0434783   5    7   12
792    0.0434783   5    7   13
793    0.0434783   5    7   14
794    0.0434783   5    7   15
795    0.0434783   5    7   16
796    0.0434783   5    7   17
797    0.0434783   5    7   18
798    0.0434783   5    7   19
799    0.0434783   5    7   20
800    0.0434783   5    8    4
801    0.0434783   5    8    5
802    0.0434783   5    8    6
803    0.0434783   5    8    7
804    0.0434783   5    8    8
805    0.0434783   5    8    9
806    0.0434783   5    8   10
807    0.0434783   5    8   11
808    0.0434783   5    8   12
809    0.0434783   5    8   13
810    0.0434783   5    8   14
811    0.0434783   5    8   15
812    0.0434783   5    8   16
813    0.0434783   5    8   17
814    0.0434783   5    8   18
815    0.0434783   5    8   19
816    0.0434783   5    8   20
817    0.0434783   5    9    4
818    0.0434783   5    9    5
819    0.0434783   5    9    6
820    0.0434783   5    9    7
821    0.0434783   5    9    8
822    0.0434783   5    9    9
823    0.0434783   5    9   10
824    0.0434783   5    9   11
825    0.0434783   5    9   12
826    0.0434783   5    9   13
827    0.0434783   5    9   14
828    0.0434783   5    9   15
829    0.0434783   5    9   16
830    0.0434783   5    9   17
831    0.0434783   5    9   18
832    0.0434783   5    9   19
833    0.0434783   5    9   20
834    0.0434783   5   10    4
835    0.0434783   5   10    5
836    0.0434783   5   10    6
837    0.0434783   5   10    7
838    0.0434783   5   10    8
839    0.0434783   5   10    9
840    0.0434783   5   10   10
841    0.0434783   5   10   11
842    0.0434783   5   10   12
843    0.0434783   5   10   13
844    0.0434783   5   10   14
845    0.0434783   5   10   15
846    0.0434783   5   10   16
847    0.0434783   5   10   17
848    0.0434783   5   10   18
849    0.0434783   5   10   19
850    0.0434783   5   10   20
851    0.0434783   5   11    4
852    0.0434783   5   11    5
853    0.0434783   5   11    6
854    0.0434783   5   11    7
855    0.0434783   5   11    8
856    0.0434783   5   11    9
857    0.0434783   5   11   10
858    0.0434783   5   11   11
859    0.0434783   5   11   12
860    0.0434783   5   11   13
861    0.0434783   5   11   14
862    0.0434783   5   11   15
863    0.0434783   5   11   16
864    0.0434782   5   11   17
865    0.0434783   5   11   18
866    0.0434783   5   11   19
867    0.0434783   5   11   20
868    0.0434783   5   12    4
869    0.0434783   5   12    5
